"GEOGRAPHIC PROFILE OF EMPLOYMENT AND UNEMPLOYMENT 
2021 ANNUAL AVERAGES 
Table 19.  States: employment status of the experienced(1) civilian labor force, by industry",,,,,,,,,,,,,,,,
North Carolina,"4,925",(2)-,416,553,300,253,636,286,(2)-,369,622,"1,077",407,218,193,(2)-
North Dakota,405,(2)-,27,31,22,(2)-,60,23,(2)-,26,27,99,32,17,21,24
Ohio,"5,709",(2)-,377,812,548,264,796,344,(2)-,311,564,"1,351",506,272,238,(2)-
Oklahoma,"1,855",(2)-,151,159,103,(2)-,268,124,(2)-,116,159,376,168,97,104,(2)-
Oregon,"2,142",(2)-,161,250,174,77,282,120,(2)-,124,233,522,168,98,106,(2)-
Pennsylvania,"6,366",(2)-,444,719,406,313,818,422,112,389,707,"1,593",501,296,259,(2)-
Rhode Island,570,(2)-,29,61,40,(2)-,83,(2)-,(2)-,42,61,154,59,(2)-,25,(2)-
South Carolina,"2,341",(2)-,184,316,184,133,315,134,(2)-,146,272,505,196,111,(2)-,(2)-
South Dakota,471,(2)-,(2)-,59,(2)-,(2)-,72,(2)-,(2)-,(2)-,(2)-,112,(2)-,(2)-,(2)-,(2)-
Tennessee,"3,316",(2)-,263,354,231,124,431,256,(2)-,240,405,694,303,164,131,(2)-
Texas,"14,106",228,"1,337","1,107",674,433,"1,882",983,221,"1,018","1,776","2,929","1,234",727,554,(2)-
Utah,"1,682",(2)-,142,180,122,(2)-,214,80,(2)-,124,223,386,132,(2)-,77,(2)-
Vermont,334,(2)-,26,30,19,(2)-,44,(2)-,(2)-,19,33,93,26,16,21,(2)-
Virginia,"4,302",(2)-,293,275,172,(2)-,523,223,(2)-,285,698,899,328,249,411,(2)-
Washington,"3,895",(2)-,292,356,258,99,520,245,83,170,535,837,297,180,212,158
West Virginia,783,(2)-,52,73,44,29,95,54,(2)-,38,67,209,66,27,52,(2)-
Wisconsin,"3,126",(2)-,217,587,360,226,375,148,(2)-,183,300,688,248,142,(2)-,(2)-
Wyoming,290,18,24,(2)-,(2)-,(2)-,36,21,(2)-,11,20,68,25,13,21,18
,,,,,,,,,,,,,,,,
Employed,,,,,,,,,,,,,,,,
Alabama,"2,166",(2)-,170,310,224,86,311,130,(2)-,120,221,451,169,104,118,(2)-
Alaska,329,(2)-,23,11,(2)-,(2)-,45,26,(2)-,15,28,84,26,17,35,(2)-
Arizona,"3,360",(2)-,261,250,193,(2)-,454,200,(2)-,333,429,722,289,157,174,(2)-
Arkansas,"1,289",(2)-,84,168,74,94,199,78,(2)-,76,105,311,100,60,(2)-,(2)-
California,"17,596",(2)-,"1,320","1,479",991,488,"2,156","1,119",507,"1,020","2,610","3,677","1,624",843,870,337
Colorado,"2,971",(2)-,267,154,103,(2)-,344,177,(2)-,253,459,612,261,134,155,(2)-
Connecticut,"1,746",(2)-,119,185,141,(2)-,210,94,(2)-,199,211,443,116,77,(2)-,(2)-
Delaware,465,(2)-,41,39,(2)-,26,65,30,(2)-,43,49,105,35,19,29,(2)-
District of Columbia,355,(2)-,9,(2)-,(2)-,(2)-,14,9,12,22,96,63,22,34,69,(2)-
Florida,"9,852",(2)-,873,488,321,167,"1,400",654,140,854,"1,432","1,973",973,560,415,(2)-
Georgia,"4,978",(2)-,376,521,298,223,623,410,(2)-,369,651,"1,007",409,193,241,(2)-
Hawaii,626,(2)-,44,20,(2)-,(2)-,76,42,(2)-,40,67,133,91,28,64,(2)-
Idaho,889,(2)-,78,93,45,48,125,51,(2)-,59,99,181,74,39,39,42
Illinois,"5,983",(2)-,332,677,392,285,746,424,88,501,837,"1,410",431,250,231,(2)-
Indiana,"3,193",(2)-,190,528,376,153,390,219,(2)-,176,305,767,276,138,(2)-,(2)-
Iowa,"1,619",(2)-,103,204,119,(2)-,245,94,(2)-,109,108,412,112,(2)-,(2)-,(2)-
Kansas,"1,445",(2)-,90,184,123,(2)-,191,(2)-,(2)-,100,148,356,96,(2)-,(2)-,(2)-
Kentucky,"1,930",(2)-,111,254,162,93,252,155,(2)-,118,173,440,162,80,(2)-,(2)-
Louisiana,"1,946",50,166,136,54,82,269,118,(2)-,94,203,468,171,110,112,(2)-
Maine,657,(2)-,46,56,(2)-,(2)-,99,(2)-,(2)-,(2)-,71,168,52,(2)-,(2)-,(2)-
Maryland,"3,017",(2)-,214,124,(2)-,(2)-,355,148,(2)-,204,519,695,189,116,380,(2)-
Massachusetts,"3,518",(2)-,236,317,201,116,397,127,(2)-,269,616,963,250,126,147,(2)-
Michigan,"4,472",(2)-,266,832,680,152,575,233,(2)-,273,435,"1,067",357,194,142,(2)-
Minnesota,"2,923",(2)-,192,399,258,141,369,141,(2)-,221,340,716,193,(2)-,(2)-,(2)-
Mississippi,"1,181",(2)-,91,168,115,53,151,92,(2)-,51,79,298,90,56,54,(2)-
Missouri,"2,922",(2)-,220,313,195,118,375,172,(2)-,203,315,688,225,152,147,(2)-
Montana,537,(2)-,51,(2)-,(2)-,(2)-,73,27,(2)-,35,55,117,56,(2)-,38,28
Nebraska,"1,022",(2)-,72,109,(2)-,64,151,57,(2)-,81,107,227,68,(2)-,(2)-,(2)-
Nevada,"1,386",(2)-,114,60,43,(2)-,198,106,(2)-,81,167,235,253,61,62,(2)-
New Hampshire,716,(2)-,53,96,72,(2)-,96,(2)-,(2)-,54,87,178,56,(2)-,(2)-,(2)-
New Jersey,"4,356",(2)-,277,364,148,215,557,304,122,401,650,"1,031",304,162,165,(2)-
New Mexico,873,(2)-,64,47,34,(2)-,125,46,(2)-,42,104,215,84,41,65,(2)-
New York,"8,816",(2)-,547,482,266,216,"1,016",483,244,770,"1,190","2,457",732,437,416,(2)-
North Carolina,"4,717",(2)-,400,531,290,241,601,274,(2)-,359,593,"1,040",374,214,189,(2)-
North Dakota,393,(2)-,26,30,22,(2)-,58,22,(2)-,25,26,98,30,17,21,23
Ohio,"5,434",(2)-,342,776,524,252,752,320,(2)-,304,537,"1,307",469,265,236,(2)-
Oklahoma,"1,784",(2)-,139,152,98,(2)-,258,117,(2)-,115,151,367,159,93,101,(2)-
Oregon,"2,034",(2)-,154,237,166,72,265,111,(2)-,123,218,503,152,94,104,(2)-
Pennsylvania,"5,970",(2)-,400,678,384,294,752,390,109,377,650,"1,533",447,281,257,(2)-
Rhode Island,540,(2)-,25,59,39,(2)-,80,(2)-,(2)-,41,56,149,51,(2)-,25,(2)-
South Carolina,"2,254",(2)-,178,304,175,129,299,131,(2)-,143,261,490,185,107,(2)-,(2)-
South Dakota,460,(2)-,(2)-,57,(2)-,(2)-,70,(2)-,(2)-,(2)-,(2)-,110,(2)-,(2)-,(2)-,(2)-
Tennessee,"3,188",(2)-,255,336,218,118,411,247,(2)-,234,388,675,281,157,130,(2)-
Texas,"13,350",199,"1,246","1,057",647,411,"1,771",923,210,977,"1,678","2,841","1,116",683,541,(2)-
Utah,"1,636",(2)-,139,176,119,(2)-,209,76,(2)-,122,215,380,126,(2)-,76,(2)-
Vermont,322,(2)-,25,29,18,(2)-,42,(2)-,(2)-,18,31,90,24,16,21,(2)-
Virginia,"4,147",(2)-,280,267,170,(2)-,502,207,(2)-,278,677,872,302,240,407,(2)-
Washington,"3,693",(2)-,277,334,241,94,483,235,80,165,512,808,262,173,209,148
West Virginia,749,(2)-,48,69,41,28,90,52,(2)-,37,63,205,61,26,51,(2)-
Wisconsin,"3,014",(2)-,207,571,348,223,359,140,(2)-,180,287,672,228,135,(2)-,(2)-
Wyoming,278,17,22,(2)-,(2)-,(2)-,34,20,(2)-,11,19,66,23,13,20,17
,,,,,,,,,,,,,,,,
Unemployed,,,,,,,,,,,,,,,,
Alabama,79,(2)-,9,10,6,4,10,4,(2)-,2,12,10,13,4,2,(2)-
Alaska,23,(2)-,4,1,(2)-,(2)-,3,1,(2)-,1,2,3,2,1,2,(2)-
Arizona,171,(2)-,14,12,7,(2)-,32,10,(2)-,5,26,24,25,9,2,(2)-
Arkansas,52,(2)-,6,8,5,4,9,4,(2)-,2,5,8,5,3,(2)-,(2)-
California,"1,283",(2)-,110,61,31,30,170,87,42,55,181,176,230,81,24,58
Colorado,149,(2)-,6,6,2,(2)-,27,11,(2)-,9,24,18,21,11,3,(2)-
Connecticut,113,(2)-,10,8,7,(2)-,14,12,(2)-,7,15,20,18,7,(2)-,(2)-
Delaware,26,(2)-,2,1,(2)-,(3)-,3,3,(2)-,2,4,4,5,1,(3)-,(2)-
District of Columbia,22,(2)-,1,(2)-,(2)-,(2)-,3,2,1,1,4,3,5,2,1,(2)-
Florida,429,(2)-,44,16,7,9,71,29,10,19,57,60,87,27,9,(2)-
Georgia,192,(2)-,15,11,6,4,26,22,(2)-,10,26,34,26,7,4,(2)-
Hawaii,39,(2)-,4,1,(2)-,(2)-,4,4,(2)-,2,5,4,11,2,1,(2)-
Idaho,33,(2)-,4,3,1,2,7,2,(2)-,2,3,4,5,1,1,1
Illinois,356,(2)-,29,39,22,17,59,24,4,13,48,47,65,17,8,(2)-
Indiana,122,(2)-,14,20,15,5,22,8,(2)-,2,12,14,20,3,(2)-,(2)-
Iowa,61,(2)-,5,6,3,(2)-,10,4,(2)-,3,10,11,7,(2)-,(2)-,(2)-
Kansas,47,(2)-,3,8,4,(2)-,6,(2)-,(2)-,1,6,6,9,(2)-,(2)-,(2)-
Kentucky,92,(2)-,7,13,11,2,8,6,(2)-,6,8,16,16,4,(2)-,(2)-
Louisiana,105,5,13,11,8,3,10,5,(2)-,4,13,13,26,2,1,(2)-
Maine,30,(2)-,3,1,(2)-,(2)-,6,(2)-,(2)-,(2)-,4,5,5,(2)-,(2)-,(2)-
Maryland,164,(2)-,15,4,(2)-,(2)-,27,16,(2)-,8,25,26,30,6,1,(2)-
Massachusetts,205,(2)-,17,15,10,6,32,13,(2)-,12,26,34,40,7,5,(2)-
Michigan,255,(2)-,25,38,30,7,38,14,(2)-,6,24,39,51,8,4,(2)-
Minnesota,113,(2)-,11,17,10,7,11,9,(2)-,5,15,18,18,(2)-,(2)-,(2)-
Mississippi,64,(2)-,7,10,6,4,7,3,(2)-,1,5,12,10,4,1,(2)-
Missouri,125,(2)-,13,19,13,6,21,8,(2)-,3,14,16,17,7,2,(2)-
Montana,17,(2)-,2,(2)-,(2)-,(2)-,3,1,(2)-,1,2,3,3,(2)-,1,1
Nebraska,27,(2)-,2,3,(2)-,1,4,1,(2)-,1,3,6,3,(2)-,(2)-,(2)-
Nevada,111,(2)-,11,5,2,(2)-,13,9,(2)-,1,13,13,33,7,2,(2)-
New Hampshire,27,(2)-,2,3,2,(2)-,4,(2)-,(2)-,1,4,4,6,(2)-,(2)-,(2)-
New Jersey,273,(2)-,24,21,10,11,52,20,6,16,30,39,49,13,3,(2)-
New Mexico,58,(2)-,7,3,2,(2)-,9,3,(2)-,1,5,9,11,2,2,(2)-
New York,625,(2)-,54,26,15,12,92,47,17,26,90,102,125,29,14,(2)-
North Carolina,208,(2)-,17,22,11,11,35,12,(2)-,11,29,36,33,4,4,(2)-
North Dakota,13,(2)-,1,1,(3)-,(2)-,2,1,(2)-,(3)-,1,2,2,(3)-,(3)-,(3)-
Ohio,275,(2)-,35,36,24,11,44,24,(2)-,6,26,45,37,7,2,(2)-
Oklahoma,72,(2)-,12,7,4,(2)-,10,6,(2)-,1,8,9,9,3,2,(2)-
Oregon,107,(2)-,7,13,8,5,17,9,(2)-,1,15,19,16,3,2,(2)-
Pennsylvania,395,(2)-,44,41,22,19,66,32,3,12,56,60,54,16,2,(2)-
Rhode Island,29,(2)-,3,2,1,(2)-,2,(2)-,(2)-,1,5,5,7,(2)-,(3)-,(2)-
South Carolina,87,(2)-,6,12,9,3,16,4,(2)-,2,11,15,11,5,(2)-,(2)-
South Dakota,12,(2)-,(2)-,1,(2)-,(2)-,2,(2)-,(2)-,(2)-,(2)-,2,(2)-,(2)-,(2)-,(2)-
Tennessee,128,(2)-,8,19,13,6,20,9,(2)-,6,17,18,21,6,1,(2)-
Texas,756,28,90,50,27,23,111,60,12,40,98,88,118,43,13,(2)-
Utah,46,(2)-,3,4,3,(2)-,6,4,(2)-,1,8,6,7,(2)-,1,(2)-
Vermont,12,(2)-,1,1,1,(2)-,2,(2)-,(2)-,1,1,2,2,(3)-,(3)-,(2)-
Virginia,155,(2)-,14,8,2,(2)-,21,16,(2)-,7,21,26,26,8,4,(2)-
Washington,201,(2)-,14,22,17,5,37,10,3,5,23,29,36,7,3,10
West Virginia,34,(2)-,4,4,3,1,5,2,(2)-,1,4,5,5,1,1,(2)-
Wisconsin,112,(2)-,10,15,12,4,16,8,(2)-,2,13,16,20,7,(2)-,(2)-
Wyoming,13,1,2,(2)-,(2)-,(2)-,2,1,(2)-,(3)-,1,2,2,(3)-,(3)-,(3)-
,,,,,,,,,,,,,,,,
Unemployment rate,,,,,,,,,,,,,,,,
Alabama,3.5,(2)-,5.1,3.2,2.7,4.3,3.3,3.2,(2)-,1.6,5.0,2.1,7.1,3.4,1.4,(2)-
Alaska,6.4,(2)-,14.5,10.7,(2)-,(2)-,7.3,4.3,(2)-,3.5,6.6,3.7,8.3,4.4,5.4,(2)-
Arizona,4.9,(2)-,5.0,4.7,3.7,(2)-,6.6,4.8,(2)-,1.6,5.7,3.3,8.0,5.2,1.1,(2)-
Arkansas,3.8,(2)-,6.5,4.7,5.8,3.9,4.2,4.5,(2)-,2.2,4.6,2.4,4.8,4.7,(2)-,(2)-
California,6.8,(2)-,7.7,4.0,3.1,5.8,7.3,7.2,7.7,5.1,6.5,4.6,12.4,8.8,2.7,14.6
Colorado,4.8,(2)-,2.4,3.7,2.3,(2)-,7.2,5.8,(2)-,3.4,5.0,2.9,7.5,7.4,1.7,(2)-
Connecticut,6.1,(2)-,8.1,4.1,4.5,(2)-,6.4,11.0,(2)-,3.2,6.5,4.4,13.1,8.0,(2)-,(2)-
Delaware,5.2,(2)-,5.5,2.2,(2)-,1.0,5.1,10.1,(2)-,3.8,6.7,3.6,12.2,4.3,0.6,(2)-
District of Columbia,5.8,(2)-,10.8,(2)-,(2)-,(2)-,15.2,16.1,5.2,4.5,3.8,5.1,17.5,5.3,1.7,(2)-
Florida,4.2,(2)-,4.8,3.1,2.2,4.9,4.8,4.2,6.7,2.2,3.8,2.9,8.2,4.6,2.1,(2)-
Georgia,3.7,(2)-,3.9,2.0,2.0,2.0,4.0,5.2,(2)-,2.6,3.9,3.3,6.0,3.7,1.5,(2)-
Hawaii,5.9,(2)-,8.9,4.0,(2)-,(2)-,5.6,9.2,(2)-,4.8,6.5,3.1,10.4,7.4,1.7,(2)-
Idaho,3.6,(2)-,4.9,2.7,1.8,3.5,4.9,3.8,(2)-,2.9,3.0,2.3,6.1,3.7,1.9,1.9
Illinois,5.6,(2)-,8.0,5.4,5.3,5.6,7.3,5.4,3.9,2.5,5.5,3.3,13.1,6.4,3.5,(2)-
Indiana,3.7,(2)-,7.0,3.7,3.8,3.4,5.3,3.6,(2)-,1.0,3.8,1.9,6.8,2.4,(2)-,(2)-
Iowa,3.6,(2)-,4.6,2.9,2.6,(2)-,3.8,4.4,(2)-,2.3,8.1,2.6,6.2,(2)-,(2)-,(2)-
Kansas,3.1,(2)-,3.0,4.3,3.3,(2)-,3.3,(2)-,(2)-,0.5,3.6,1.8,8.5,(2)-,(2)-,(2)-
Kentucky,4.5,(2)-,6.3,4.8,6.1,2.5,3.0,3.4,(2)-,4.5,4.4,3.4,8.8,5.2,(2)-,(2)-
Louisiana,5.1,8.4,7.2,7.4,12.7,3.4,3.6,4.3,(2)-,4.5,6.0,2.6,13.4,1.9,0.6,(2)-
Maine,4.3,(2)-,5.7,1.7,(2)-,(2)-,5.3,(2)-,(2)-,(2)-,4.9,3.1,8.6,(2)-,(2)-,(2)-
Maryland,5.2,(2)-,6.7,3.4,(2)-,(2)-,7.1,9.9,(2)-,3.8,4.6,3.6,13.9,5.0,0.3,(2)-
Massachusetts,5.5,(2)-,6.6,4.6,4.7,4.6,7.5,9.5,(2)-,4.3,4.1,3.4,13.8,5.4,3.4,(2)-
Michigan,5.4,(2)-,8.6,4.3,4.3,4.5,6.2,5.5,(2)-,2.0,5.3,3.6,12.4,3.8,2.9,(2)-
Minnesota,3.7,(2)-,5.3,4.2,3.9,4.8,2.8,6.0,(2)-,2.2,4.2,2.4,8.4,(2)-,(2)-,(2)-
Mississippi,5.2,(2)-,7.4,5.7,5.1,7.1,4.6,3.3,(2)-,1.8,5.7,4.0,10.0,6.8,1.1,(2)-
Missouri,4.1,(2)-,5.6,5.7,6.2,4.8,5.4,4.3,(2)-,1.2,4.3,2.2,7.2,4.4,1.7,(2)-
Montana,3.1,(2)-,3.6,(2)-,(2)-,(2)-,3.9,2.8,(2)-,1.8,3.0,2.4,5.0,(2)-,1.6,3.4
Nebraska,2.6,(2)-,3.1,2.3,(2)-,1.7,2.7,2.2,(2)-,1.4,2.5,2.7,4.8,(2)-,(2)-,(2)-
Nevada,7.4,(2)-,8.7,7.5,5.2,(2)-,6.2,8.0,(2)-,1.2,7.4,5.1,11.5,9.7,2.4,(2)-
New Hampshire,3.6,(2)-,4.1,2.7,3.2,(2)-,3.6,(2)-,(2)-,1.5,4.1,2.0,9.9,(2)-,(2)-,(2)-
New Jersey,5.9,(2)-,8.1,5.5,6.6,4.7,8.5,6.2,4.6,3.8,4.4,3.6,13.9,7.4,1.8,(2)-
New Mexico,6.2,(2)-,9.6,5.2,4.6,(2)-,6.9,6.5,(2)-,2.8,5.0,4.1,11.7,5.6,2.5,(2)-
New York,6.6,(2)-,9.0,5.2,5.2,5.1,8.3,8.9,6.7,3.2,7.0,4.0,14.6,6.1,3.2,(2)-
North Carolina,4.2,(2)-,4.0,4.0,3.6,4.5,5.5,4.2,(2)-,2.9,4.7,3.4,8.0,2.0,2.3,(2)-
North Dakota,3.1,(2)-,3.5,1.7,1.4,(2)-,4.0,4.5,(2)-,0.8,5.4,1.9,6.4,1.5,1.7,2.0
Ohio,4.8,(2)-,9.3,4.4,4.4,4.3,5.5,6.9,(2)-,2.0,4.7,3.3,7.2,2.5,1.0,(2)-
Oklahoma,3.9,(2)-,7.7,4.4,4.3,(2)-,3.6,5.0,(2)-,0.8,5.3,2.3,5.2,3.3,2.4,(2)-
Oregon,5.0,(2)-,4.3,5.2,4.5,6.6,6.0,7.8,(2)-,1.1,6.4,3.6,9.4,3.2,1.5,(2)-
Pennsylvania,6.2,(2)-,10.0,5.8,5.4,6.2,8.1,7.6,2.9,3.1,8.0,3.8,10.8,5.3,0.8,(2)-
Rhode Island,5.2,(2)-,11.4,3.0,3.2,(2)-,2.8,(2)-,(2)-,1.4,8.3,3.2,12.4,(2)-,1.8,(2)-
South Carolina,3.7,(2)-,3.4,3.8,4.8,2.5,5.0,2.9,(2)-,1.6,3.9,2.9,5.8,4.2,(2)-,(2)-
South Dakota,2.5,(2)-,(2)-,2.1,(2)-,(2)-,2.5,(2)-,(2)-,(2)-,(2)-,1.6,(2)-,(2)-,(2)-,(2)-
Tennessee,3.9,(2)-,3.0,5.3,5.6,4.9,4.7,3.5,(2)-,2.4,4.2,2.6,7.1,3.8,0.7,(2)-
Texas,5.4,12.4,6.8,4.5,4.0,5.3,5.9,6.1,5.2,4.0,5.5,3.0,9.6,6.0,2.3,(2)-
Utah,2.7,(2)-,2.3,2.0,2.1,(2)-,2.6,5.5,(2)-,1.0,3.5,1.6,5.0,(2)-,0.9,(2)-
Vermont,3.5,(2)-,5.3,2.1,2.9,(2)-,4.3,(2)-,(2)-,3.1,4.2,2.4,7.4,2.6,1.0,(2)-
Virginia,3.6,(2)-,4.7,2.9,1.0,(2)-,4.1,7.1,(2)-,2.3,3.0,2.9,7.9,3.4,0.9,(2)-
Washington,5.2,(2)-,5.0,6.2,6.6,5.2,7.2,4.0,3.4,2.9,4.2,3.5,12.1,4.1,1.4,6.6
West Virginia,4.3,(2)-,7.2,5.1,5.7,4.0,5.3,3.5,(2)-,3.3,5.5,2.3,8.2,4.4,1.8,(2)-
Wisconsin,3.6,(2)-,4.8,2.6,3.3,1.6,4.3,5.2,(2)-,1.3,4.3,2.3,8.1,5.0,(2)-,(2)-
Wyoming,4.3,4.6,8.3,(2)-,(2)-,(2)-,4.5,4.2,(2)-,3.5,4.7,2.5,7.7,3.3,2.2,1.4
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
(1) Excludes people with no previous work experience.,,,,,,,,,,,,,,,,
"(2) Data are not shown when the labor force base does not meet the BLS publication standard of reliability for the particular area, as determined by the sample size. (See appendix B.)",,,,,,,,,,,,,,,,
(3) Fewer than 500 people.,,,,,,,,,,,,,,,,
Note: Levels may not compute to displayed rates because of rounding. Data incorporate updated population controls.,,,,,,,,,,,,,,,,
